tweet_id,favorite_count,retweet_count
875144289856114688,21153,4666
875097192612077568,26464,5754
875021211251597312,24574,4475
874680097055178752,26861,4395
874434818259525634,0,13833
874296783580663808,25139,3903
874057562936811520,21926,3759
874012996292530176,33312,9786
873580283840344065,23392,3736
873337748698140672,0,1511
873213775632977920,6962,1511
872967104147763200,26367,5140
872820683541237760,14236,3529
872620804844003328,20073,3486
872486979161796608,39395,8591
872122724285648897,33274,7730
871879754684805121,36583,10537
871762521631449091,19615,3321
871515927908634625,19530,3302
871166179821445120,0,5447
871102520638267392,20287,5259
871032628920680449,21990,3642
870804317367881728,32620,5918
870726314365509632,118,3
870656317836468226,12018,2531
870374049280663552,80393,25281
870308999962521604,21241,3980
870063196459192321,35548,7962
869772420881756160,41291,9674
869702957897576449,27451,6062
869596645499047938,15531,3007
869227993411051520,19870,3630
868880397819494401,63748,13872
868639477480148993,0,2001
868622495443632128,26013,5104
868552278524837888,9845,2001
867900495410671616,23583,4028
867774946302451713,33090,7076
867421006826221569,15702,2407
867072653475098625,0,118
867051520902168576,31453,7597
866720684873056260,19562,4628
866686824827068416,18825,3356
866450705531457537,119498,34047
866334964761202691,51299,13833
866094527597207552,0,8100
865718153858494464,25080,5444
865359393868664832,25896,4841
865006731092295680,27406,7440
864873206498414592,31590,8424
864279568663928832,14289,2931
864197398364647424,29465,8618
863907417377173506,20197,4007
863553081350529029,14985,4067
863471782782697472,0,2368
863432100342583297,23358,5088
863427515083354112,2194,94
863079547188785154,8600,1075
863062471531167744,8322,2368
862831371563274240,18818,5006
862722525377298433,16767,3440
862457590147678208,20116,4816
862096992088072192,73132,22591
861383897657036800,35502,10443
861288531465048066,16917,4037
861005113778896900,16442,3723
860981674716409858,0,2105
860924035999428608,0,791
860563773140209665,7398,2105
860524505164394496,23288,5169
860276583193509888,18065,3413
860184849394610176,16428,5724
860177593139703809,0,30277
859924526012018688,19311,4008
859851578198683649,15218,3443
859607811541651456,18342,1535
859196978902773760,88745,29564
859074603037188101,33448,13352
858860390427611136,0,7990
858843525470990336,15372,3431
858471635011153920,21268,4775
858107933456039936,15560,2867
857989990357356544,15951,2554
857746408056729600,33905,10468
857393404942143489,5844,1618
857263160327368704,19847,4454
857214891891077121,227,17
857062103051644929,0,170
857029823797047296,18769,3957
856543823941562368,16158,2850
856526610513747968,11779,1858
856330835276025856,0,657
856288084350160898,512,16
856282028240666624,27566,6223
855862651834028034,343,26
855860136149123072,4967,999
855857698524602368,11805,2098
855851453814013952,45366,17780
855818117272018944,26520,5393
855459453768019968,29794,8164
855245323840757760,0,5931
855138241867124737,0,44
854732716440526848,22787,6035
854482394044301312,29266,6862
854365224396361728,18881,4670
854120357044912130,31989,7471
854010172552949760,16214,3154
853760880890318849,28624,5750
853639147608842240,34868,10096
853299958564483072,15556,3559
852936405516943360,0,2010
852912242202992640,9105,1832
852672615818899456,14986,2159
852553447878664193,16411,3511
852311364735569921,33312,9969
852226086759018497,20121,6870
852189679701164033,11522,1593
851861385021730816,0,20
851591660324737024,16364,3503
851464819735769094,24425,7112
851224888060895234,20821,5764
850753642995093505,31184,9246
850380195714523136,13201,2641
850333567704068097,3486,336
850145622816686080,16493,3838
850019790995546112,20632,4924
849776966551130114,30819,7679
849668094696017920,0,5017
849412302885593088,16052,3186
849336543269576704,11537,1930
849051919805034497,42881,8594
848690551926992896,25494,4380
848324959059550208,25071,4657
848213670039564288,8293,747
848212111729840128,16546,3096
847978865427394560,0,3303
847971574464610304,0,436
847962785489326080,23847,5170
847842811428974592,5530,1349
847617282490613760,7092,423
847606175596138505,19045,3466
847251039262605312,20785,4352
847157206088847362,20227,5963
847116187444137987,21760,3243
846874817362120707,20398,3980
846514051647705089,45342,11785
846505985330044928,14336,3125
846153765933735936,32217,9220
846139713627017216,31454,10131
846042936437604353,16274,2929
845812042753855489,29773,8873
845677943972139009,25604,4879
845397057150107648,7771,1843
845306882940190720,23759,5489
845098359547420673,0,7813
844979544864018432,13876,2605
844973813909606400,15383,3273
844580511645339650,16796,3198
844223788422217728,13901,2246
843981021012017153,15447,2998
843856843873095681,21874,4723
843604394117681152,17223,2803
843235543001513987,21964,6157
842846295480000512,15550,3708
842765311967449089,6889,1314
842535590457499648,18472,3588
842163532590374912,24994,5931
842115215311396866,14308,3108
841833993020538882,0,15559
841680585030541313,26254,7969
841439858740625411,12928,3775
841320156043304961,20230,5626
841314665196081154,16176,4794
841077006473256960,23373,5447
840761248237133825,0,1802
840728873075638272,0,16584
840698636975636481,180,2
840696689258311684,12570,1002
840632337062862849,9189,1802
840370681858686976,16843,4675
840268004936019968,19739,5874
839990271299457024,13744,2349
839549326359670784,28164,7990
839290600511926273,0,146
839239871831150596,27879,6705
838952994649550848,20114,4095
838921590096166913,11447,2115
838916489579200512,0,35
838831947270979586,0,11345
838561493054533637,11198,1368
838476387338051585,23159,4926
838201503651401729,0,10358
838150277551247360,1718,341
838085839343206401,145,1
838083903487373313,18082,3239
837820167694528512,35078,8100
837482249356513284,3936,452
837471256429613056,13134,2340
837110210464448512,16472,2448
836989968035819520,13070,2353
836753516572119041,19811,4782
836677758902222849,12948,2287
836648853927522308,0,566
836397794269200385,0,28462
836380477523124226,15161,3071
836260088725786625,21873,4426
836001077879255040,19620,4396
835685285446955009,0,8401
835574547218894849,18289,3730
835536468978302976,0,1756
835309094223372289,0,21730
835297930240217089,16920,3100
