tweet_id,favorite_count,retweet_count
854365224396361728,18868,4669
854120357044912130,31974,7466
854010172552949760,16207,3153
853760880890318849,28610,5745
853639147608842240,34845,10091
853299958564483072,15547,3557
852936405516943360,0,2008
852912242202992640,9096,1831
852672615818899456,14974,2158
852553447878664193,16407,3508
852311364735569921,33299,9962
852226086759018497,20108,6867
852189679701164033,11515,1592
851861385021730816,0,20
851591660324737024,16354,3501
851464819735769094,24408,7108
851224888060895234,20819,5764
850753642995093505,31171,9238
850380195714523136,13197,2641
850333567704068097,3484,336
850145622816686080,16484,3838
850019790995546112,20624,4920
849776966551130114,30808,7675
849668094696017920,0,5012
849412302885593088,16042,3185
849336543269576704,11530,1929
849051919805034497,42857,8590
848690551926992896,25486,4380
848324959059550208,25056,4654
848213670039564288,8291,746
848212111729840128,16541,3094
847978865427394560,0,3302
847971574464610304,0,436
847962785489326080,23835,5166
847842811428974592,5528,1349
847617282490613760,7088,424
847606175596138505,19038,3466
847251039262605312,20772,4349
847157206088847362,20221,5960
847116187444137987,21753,3242
846874817362120707,20391,3979
846514051647705089,45318,11776
846505985330044928,14330,3125
846153765933735936,32194,9219
846139713627017216,31452,10131
846042936437604353,16267,2927
845812042753855489,29762,8870
845677943972139009,25597,4876
845397057150107648,7762,1842
845306882940190720,23750,5487
845098359547420673,0,7808
844979544864018432,13874,2605
844973813909606400,15377,3270
844580511645339650,16788,3197
844223788422217728,13894,2246
843981021012017153,15437,2998
843856843873095681,21864,4722
843604394117681152,17215,2801
843235543001513987,21946,6155
842846295480000512,15541,3705
842765311967449089,6888,1314
842535590457499648,18466,3587
842163532590374912,24982,5931
842115215311396866,14299,3106
841833993020538882,0,15552
841680585030541313,26244,7968
841439858740625411,12920,3773
841320156043304961,20217,5625
841314665196081154,16169,4790
841077006473256960,23364,5447
840761248237133825,0,1801
840728873075638272,0,16580
840698636975636481,180,2
840696689258311684,12570,1002
840632337062862849,9183,1801
840370681858686976,16838,4675
840268004936019968,19724,5872
839990271299457024,13742,2348
839549326359670784,28151,7987
839290600511926273,0,146
839239871831150596,27864,6701
838952994649550848,20106,4094
838921590096166913,11437,2114
838916489579200512,0,35
838831947270979586,0,11337
838561493054533637,11188,1368
838476387338051585,23141,4927
838201503651401729,0,10353
838150277551247360,1716,341
838085839343206401,145,1
838083903487373313,18074,3238
837820167694528512,35057,8101
837482249356513284,3934,452
837471256429613056,13127,2339
837110210464448512,16465,2446
836989968035819520,13062,2352
836753516572119041,19796,4781
836677758902222849,12945,2287
