tweet_id,favorite_count,retweet_count
857393404942143489,5831,1616
857263160327368704,19805,4447
857214891891077121,226,17
857062103051644929,0,168
857029823797047296,18731,3947
856543823941562368,16131,2841
856526610513747968,11758,1853
856330835276025856,0,657
856288084350160898,511,15
856282028240666624,27528,6211
855862651834028034,340,26
855860136149123072,4959,994
855857698524602368,11788,2096
855851453814013952,45301,17743
855818117272018944,26479,5376
855459453768019968,29737,8153
855245323840757760,0,5924
855138241867124737,0,44
854732716440526848,22749,6025
854482394044301312,29216,6850
854365224396361728,18841,4666
854120357044912130,31922,7456
854010172552949760,16181,3150
853760880890318849,28578,5741
853639147608842240,34811,10076
853299958564483072,15528,3553
852936405516943360,0,2006
852912242202992640,9091,1828
852672615818899456,14963,2154
852553447878664193,16375,3504
852311364735569921,33250,9949
852226086759018497,20091,6862
852189679701164033,11504,1590
851861385021730816,0,20
851591660324737024,16330,3495
851464819735769094,24394,7092
851224888060895234,20792,5758
850753642995093505,31132,9222
850380195714523136,13186,2635
850333567704068097,3481,336
850145622816686080,16468,3836
850019790995546112,20589,4915
849776966551130114,30769,7662
849668094696017920,0,5002
849412302885593088,16023,3182
849336543269576704,11516,1927
849051919805034497,42801,8579
848690551926992896,25464,4372
848324959059550208,25031,4648
848213670039564288,8284,744
848212111729840128,16525,3091
847978865427394560,0,3298
847971574464610304,0,436
847962785489326080,23814,5160
847842811428974592,5520,1347
847617282490613760,7082,424
847606175596138505,19016,3464
847251039262605312,20745,4346
847157206088847362,20201,5954
847116187444137987,21716,3235
846874817362120707,20376,3975
846514051647705089,45285,11755
846505985330044928,14316,3119
846153765933735936,32157,9206
846139713627017216,31425,10116
846042936437604353,16245,2919
845812042753855489,29734,8856
845677943972139009,25576,4868
845397057150107648,7755,1840
845306882940190720,23726,5479
845098359547420673,0,7797
844979544864018432,13867,2603
844973813909606400,15367,3264
844580511645339650,16780,3192
844223788422217728,13885,2242
843981021012017153,15434,2997
843856843873095681,21846,4717
843604394117681152,17198,2798
843235543001513987,21924,6141
842846295480000512,15522,3705
842765311967449089,6883,1313
842535590457499648,18447,3580
842163532590374912,24962,5924
842115215311396866,14278,3103
841833993020538882,0,15520
841680585030541313,26211,7959
841439858740625411,12913,3766
841320156043304961,20205,5611
841314665196081154,16159,4779
841077006473256960,23333,5436
840761248237133825,0,1799
840728873075638272,0,16553
840698636975636481,178,2
840696689258311684,12541,998
840632337062862849,9176,1799
840370681858686976,16828,4667
840268004936019968,19704,5869
839990271299457024,13722,2347
839549326359670784,28117,7970
839290600511926273,0,146
839239871831150596,27834,6695
838952994649550848,20080,4091
838921590096166913,11422,2111
838916489579200512,0,35
838831947270979586,0,11315
838561493054533637,11173,1367
838476387338051585,23124,4915
838201503651401729,0,10340
838150277551247360,1714,340
838085839343206401,145,1
838083903487373313,18061,3233
837820167694528512,35008,8089
837482249356513284,3931,451
837471256429613056,13116,2338
837110210464448512,16445,2442
836989968035819520,13050,2350
836753516572119041,19782,4776
836677758902222849,12929,2280
836648853927522308,0,564
836397794269200385,0,28418
836380477523124226,15137,3069
836260088725786625,21845,4417
836001077879255040,19594,4387
835685285446955009,0,8387
835574547218894849,18255,3720
835536468978302976,0,1752
835309094223372289,0,21673
835297930240217089,16889,3096
835264098648616962,7931,1752
835246439529840640,2156,73
